story_id,emotion,story_path,question_num,question_text,answer_options,correct_answer,question_audio_path
12014_1_2_happy,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,4,How did she feel when her boyfriend proposed?,Free response,,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q4.wav
12014_1_2_happy,happy,stim_normalized/12014_1_2_happy/story/12014_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12014_1_2_happy/questions/12014_2_happy_studio_q5.wav
12015_1_2_sad,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,1,Where did the family move?,A. England | B. Canada | C. Australia | D. The United States,D,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q1.wav
12015_1_2_sad,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,2,Where did the gerbils go when they moved?,A. They brought them along | B. They stayed with her friend | C. They lived with her grandparents | D. They ran away,B,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q2.wav
12015_1_2_sad,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,3,How did she feel when she when she found out she was moving to the US?,A. Upset | B. Excited | C. Didn't care | D. Happy,A,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q3.wav
12015_1_2_sad,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,4,How did she feel when she got a picture from her friend?,Free response,,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q4.wav
12015_1_2_sad,sad,stim_normalized/12015_1_2_sad/story/12015_1_2_sad_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12015_1_2_sad/questions/12015_1_2_sad_nvidia_q5.wav
12016_1_1_happy,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,1,What animal did her mom bring home?,A. Dog | B. Hamster | C. Guinea Pig | D. Cat,D,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q1.wav
12016_1_1_happy,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,2,Where did she volunteer?,A. Animal Shelter | B. Retirement home | C. Elementary School | D. Museum,A,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q2.wav
12016_1_1_happy,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,3,What was her concern for her boyfriend?,A. He is allergic to cats | B. He doesn't like animals | C. He wanted to move | D. He wanted a dog instead,A,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q3.wav
12016_1_1_happy,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,4,How did she feel when she took her kitty home?,Free response,,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q4.wav
12016_1_1_happy,happy,stim_normalized/12016_1_1_happy/story/12016_1_1_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12016_1_1_happy/questions/12016_happy_studio_q5.wav
12016_1_2_happy,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,1,What was the restaurant she mentioned?,A. Dominos | B. Papa John's | C. Pizza Hut | D. Little Caesar's,D,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q1.wav
12016_1_2_happy,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,2,What did she win?,A. A lifetime of free pizza | B. A free pizza party | C. Free pizza for a year | D. A free pizza,C,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q2.wav
12016_1_2_happy,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,3,How do you think she felt when she filled out the survey?,A. Upset | B. Anxious | C. Hopeful | D. Sad,C,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q3.wav
12016_1_2_happy,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,4,How did she feel when she got 52 gift cards?,Free response,,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q4.wav
12016_1_2_happy,happy,stim_normalized/12016_1_2_happy/story/12016_1_2_happy_studio.wav,5,How did this story make you feel?,Free response,,stim_normalized/12016_1_2_happy/questions/12016_1_2_happy_studio_q5.wav
9227_3_1_spontaneous,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,1,Who did he go with on his ski vacation?,A. His Friends | B. His mom | C. His dad | D. His Sister,C,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q1.wav
9227_3_1_spontaneous,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,2,Why did they choose an easy run first?,A. It was shorter | B. They hadn't skied in a while | C. It was the only open run | D. It had better snow,B,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q2.wav
9227_3_1_spontaneous,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,3,What describes what happened to the squirrel after he hit it?,A. It was unharmed and ran away happily | B. It appeared to be in pain | C. It became playful and followed him | D. It disappeared immediately,B,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q3.wav
9227_3_1_spontaneous,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,4,How did he feel when he saw the squirrel was gone?,Free response,,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q4.wav
9227_3_1_spontaneous,spontaneous,stim_normalized/9227_3_1_spontaneous/story/9227_3_1_spontaneous_studio.wav,5,how did this story make you feel,Free response,,stim_normalized/9227_3_1_spontaneous/questions/9227_3_1_spontaneous_nvidia_q5.wav
